timestamp, clocks.current.video [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.encoder [%], utilization.decoder [%], temperature.gpu, power.draw [W]
2026/09/05 19:33:23.442, 1057 MHz, 1185 MHz, 5501 MHz, 29 %, 12 %, 0 %, 57, 7.61 W
2026/09/05 19:33:24.443, 1057 MHz, 1185 MHz, 5501 MHz, 32 %, 12 %, 0 %, 57, 8.15 W
2026/09/05 19:33:25.457, 1035 MHz, 1177 MHz, 5501 MHz, 24 %, 10 %, 0 %, 58, 8.28 W
2026/09/05 19:33:26.468, 967 MHz, 1087 MHz, 5501 MHz, 29 %, 13 %, 0 %, 58, 8.13 W
2026/09/05 19:33:27.470, 1035 MHz, 1170 MHz, 5501 MHz, 30 %, 13 %, 0 %, 58, 8.34 W
2026/09/05 19:33:28.484, 1057 MHz, 1192 MHz, 5501 MHz, 29 %, 12 %, 0 %, 59, 8.33 W
2026/09/05 19:33:29.498, 945 MHz, 1072 MHz, 5501 MHz, 29 %, 12 %, 0 %, 59, 8.46 W
2026/09/05 19:33:30.507, 967 MHz, 1102 MHz, 5501 MHz, 30 %, 13 %, 0 %, 59, 8.13 W
2026/09/05 19:33:31.508, 1147 MHz, 1297 MHz, 5501 MHz, 44 %, 12 %, 0 %, 60, 8.80 W
2026/09/05 19:33:32.523, 1470 MHz, 1665 MHz, 5501 MHz, 26 %, 7 %, 0 %, 61, 17.25 W
2026/09/05 19:33:33.524, 1530 MHz, 1740 MHz, 5501 MHz, 36 %, 8 %, 0 %, 63, 22.06 W
2026/09/05 19:33:34.539, 1530 MHz, 1740 MHz, 5501 MHz, 37 %, 8 %, 0 %, 63, 22.59 W
2026/09/05 19:33:35.554, 1530 MHz, 1740 MHz, 5501 MHz, 36 %, 8 %, 0 %, 63, 22.96 W
2026/09/05 19:33:36.569, 1530 MHz, 1740 MHz, 5501 MHz, 22 %, 8 %, 0 %, 63, 17.59 W
2026/09/05 19:33:37.579, 1380 MHz, 1560 MHz, 5501 MHz, 32 %, 9 %, 0 %, 63, 18.46 W
2026/09/05 19:33:38.588, 1312 MHz, 1485 MHz, 5501 MHz, 35 %, 12 %, 0 %, 63, 15.59 W
2026/09/05 19:33:39.600, 1177 MHz, 1327 MHz, 5501 MHz, 35 %, 13 %, 0 %, 63, 11.27 W
2026/09/05 19:33:40.618, 1080 MHz, 1207 MHz, 5501 MHz, 33 %, 14 %, 0 %, 62, 9.71 W
2026/09/05 19:33:41.630, 990 MHz, 1117 MHz, 5501 MHz, 31 %, 13 %, 0 %, 62, 8.56 W
2026/09/05 19:33:42.641, 945 MHz, 1080 MHz, 5501 MHz, 42 %, 17 %, 0 %, 63, 8.43 W
2026/09/05 19:33:43.656, 922 MHz, 1035 MHz, 5501 MHz, 42 %, 17 %, 0 %, 63, 8.11 W
2026/09/05 19:33:44.667, 967 MHz, 1087 MHz, 5501 MHz, 37 %, 14 %, 0 %, 63, 8.17 W
2026/09/05 19:33:45.668, 967 MHz, 1102 MHz, 5501 MHz, 30 %, 13 %, 0 %, 63, 8.46 W
2026/09/05 19:33:46.684, 1470 MHz, 1672 MHz, 5501 MHz, 27 %, 7 %, 0 %, 65, 13.36 W
2026/09/05 19:33:47.700, 1522 MHz, 1725 MHz, 5501 MHz, 23 %, 8 %, 0 %, 65, 19.19 W
2026/09/05 19:33:48.714, 1162 MHz, 1320 MHz, 5501 MHz, 22 %, 9 %, 0 %, 65, 16.34 W
2026/09/05 19:33:49.730, 1012 MHz, 1155 MHz, 5501 MHz, 37 %, 11 %, 0 %, 64, 19.01 W
2026/09/05 19:33:50.743, 877 MHz, 990 MHz, 5501 MHz, 19 %, 8 %, 0 %, 64, 9.29 W
2026/09/05 19:33:51.761, 802 MHz, 862 MHz, 5501 MHz, 29 %, 12 %, 0 %, 64, 6.13 W
2026/09/05 19:33:52.777, 1012 MHz, 1147 MHz, 5501 MHz, 56 %, 15 %, 0 %, 63, 5.49 W
2026/09/05 19:33:53.778, 1012 MHz, 1147 MHz, 5501 MHz, 28 %, 13 %, 0 %, 63, 6.85 W
2026/09/05 19:33:54.794, 802 MHz, 855 MHz, 5501 MHz, 0 %, 0 %, 0 %, 63, 5.96 W
2026/09/05 19:33:55.802, 802 MHz, 645 MHz, 810 MHz, 0 %, 0 %, 0 %, 62, 2.86 W
2026/09/05 19:33:56.804, 555 MHz, 405 MHz, 405 MHz, 0 %, 0 %, 0 %, 62, 1.88 W
2026/09/05 19:33:57.819, 555 MHz, 255 MHz, 405 MHz, 0 %, 0 %, 0 %, 62, 1.85 W
2026/09/05 19:33:58.821, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 62, 1.80 W
2026/09/05 19:33:59.824, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 61, 1.76 W
2026/09/05 19:34:00.827, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 61, 1.75 W
2026/09/05 19:34:01.834, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 61, 1.76 W
2026/09/05 19:34:02.848, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 61, 1.76 W
2026/09/05 19:34:03.850, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 61, 1.76 W
2026/09/05 19:34:04.854, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.76 W
2026/09/05 19:34:05.867, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.73 W
2026/09/05 19:34:06.881, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.78 W
2026/09/05 19:34:07.882, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.77 W
2026/09/05 19:34:08.884, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.75 W
2026/09/05 19:34:09.888, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 60, 1.75 W
2026/09/05 19:34:10.895, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 59, 1.73 W
2026/09/05 19:34:11.910, 555 MHz, 210 MHz, 405 MHz, 0 %, 0 %, 0 %, 59, 1.70 W
